Direction,ID,LEN,PLC,DATA,CRC,
"to",0x00,0x02,0xFD,"0x00",0xFF,
"from",0x01,0x02,0xFD,"0x00",0xFE,
"to",0x02,0x04,0xFB,"0x01 0x01 0x00",0xFD,
"from",0x03,0x02,0xFD,"0x01",0xFD,
"to",0x04,0x0B,0xF4,"0x02 0x53 0x10 0x31 0x30 0x00 0x50 0x00 0xE0 0x11",0x1A,
"from",0x09,0x02,0xFD,"0x02",0xF4,
"to",0x0A,0x06,0xF9,"0x03 0x01 0x03 0xDE 0x02",0x28,
"from",0x0D,0x02,0xFD,"0x03",0xF1,
"from",0x3F,0x03,0xFC,"0x03 0x00",0xC3,
"from",0x53,0x03,0xFC,"0x04 0x01",0xA9,
"to",0x52,0x04,0xFB,"0x04 0x01 0x39",0x91,
"from",0x0D,0x02,0xFD,"0x04",0xF6,
"to",0x0A,0x06,0xF9,"0x05 0x02 0x00 0x16 0x04",0xE0,
"from",0x0D,0x02,0xFD,"0x05",0xF7,
"from",0x07,0x02,0xFD,"0x05",0xFD,
"to",0x08,0x02,0xFD,"0x06",0xF1,
"from",0x0D,0x02,0xFD,"0x06",0xF4,
"from",0x55,0x04,0xFB,"0x06 0x0A 0x3C",0x9A,
"from",0x39,0x08,0xF7,"0x07 0x01 0x02 0x00 0x00 0x50 0xE0",0x72,
"from",0x39,0x08,0xF7,"0x08 0x01 0x02 0xC8 0x0C 0x1B 0x18",0x0A,
"from",0x31,0x38,0xC7,"0x09 0x01 0x00 0xC9 0x0C 0x1B 0x0C 0x03 0x00 0x00 0x00 0x0D 0x00 0x00 0x00 0x31 0x00 0x00 0x00 0xC1 0x00 0x00 0x00 0x07 0x03 0x00 0x00 0x18 0x1C 0x00 0x00 0x60 0xE0 0x01 0x00 0x80 0x01 0xFE 0x01 0x00 0x0E 0x00 0x06 0x00 0xF0 0x00 0x04 0x00 0x00 0x1F 0x04 0x00 0x00 0xE0 0x07",0x15,
